filename,algorithm,score
pa_1000_3,PRISM,0.355
pa_1000_3,RWordle-L,0.416
pa_1000_3,SCALE,0.482
pa_1000_3,VPSC,0.205
pa_1000_4,GTREE,0.401
pa_1000_4,PFS,0.289
pa_1000_4,PFS',0.397
pa_1000_4,PRISM,0.353
pa_1000_4,RWordle-L,0.415
pa_1000_4,SCALE,0.483
pa_1000_4,VPSC,0.194
pa_1000_5,GTREE,0.396
pa_1000_5,PFS,0.29
pa_1000_5,PFS',0.387
pa_1000_5,PRISM,0.359
pa_1000_5,RWordle-L,0.408
pa_1000_5,SCALE,0.479
pa_1000_5,VPSC,0.197
pa_1000_6,GTREE,0.36
pa_1000_6,PFS,0.286
pa_1000_6,PFS',0.397
pa_1000_6,PRISM,0.35
pa_1000_6,RWordle-L,0.405
pa_1000_6,SCALE,0.48
pa_1000_6,VPSC,0.201
pa_1000_7,GTREE,0.407
pa_1000_7,PFS,0.294
pa_1000_7,PFS',0.402
pa_1000_7,PRISM,0.368
pa_1000_7,RWordle-L,0.412
pa_1000_7,SCALE,0.481
pa_1000_7,VPSC,0.198
pa_1000_8,GTREE,0.41
pa_1000_8,PFS,0.278
pa_1000_8,PFS',0.373
pa_1000_8,PRISM,0.342
pa_1000_8,RWordle-L,0.404
pa_1000_8,SCALE,0.48
pa_1000_8,VPSC,0.201
pa_1000_9,GTREE,0.398
pa_1000_9,PFS,0.284
pa_1000_9,PFS',0.373
pa_1000_9,PRISM,0.358
pa_1000_9,RWordle-L,0.415
pa_1000_9,SCALE,0.48
pa_1000_9,VPSC,0.202
pa_100_10,GTREE,0.463
pa_100_10,PFS,0.302
pa_100_10,PFS',0.439
pa_100_10,PRISM,0.418
pa_100_10,RWordle-L,0.548
pa_100_10,SCALE,0.484
pa_100_10,VPSC,0.371
pa_100_11,GTREE,0.454
pa_100_11,PFS,0.311
pa_100_11,PFS',0.441
pa_100_11,PRISM,0.45
pa_100_11,RWordle-L,0.546
pa_100_11,SCALE,0.49
pa_100_11,VPSC,0.362
pa_100_12,GTREE,0.458
pa_100_12,PFS,0.335
pa_100_12,PFS',0.49
