filename,algorithm,oo_nni,sp_ch_a,gs_bb_iar,nm_dm_imse,eb_rsdd,node_overlaps,area_size,avg_node_size
pa_1000_10,GTREE,0.0246316316316316,71.98579947827331,1.0356541606541607,10507.252155964792,0.551825,0,1000000.0,1000.0
pa_1000_10,PFS,0.0,129.4307868488456,1.7028495364279412,13330.260728159508,0.227341,0,1000000.0,1000.0
pa_1000_10,PFS',0.0,68.06372594657539,1.0418742926639752,5195.654694929507,0.177122,0,1000000.0,1000.0
pa_1000_10,PRISM,0.0107697697697697,33.42342028068086,1.245429471063487,3081.999227009649,0.375592,0,1000000.0,1000.0
pa_1000_10,RWordle-L,0.2161931931931932,13.198063823636533,1.1219122023809525,19908.43664256259,1.206078,0,1000000.0,1000.0
pa_1000_10,SCALE,0.0,314.69408093152555,1.0607886904761905,0.0,0.0,0,1000000.0,1000.0
pa_1000_10,VPSC,0.0236656656656656,8.671698596494812,4.600694444444445,1459.9413679872946,0.831232,0,1000000.0,1000.0
pa_1000_11,GTREE,0.0429399399399399,79.22054955396256,1.210870868869936,10471.30858203621,1.2069,0,1000000.0,1000.0
pa_1000_11,PFS,0.0,133.88066393238174,1.660239071634238,7444.076461913359,0.328421,0,1000000.0,1000.0
pa_1000_11,PFS',0.0,78.71087582488427,1.0843688002506005,7279.673966937684,0.385419,0,1000000.0,1000.0
pa_1000_11,PRISM,0.0109849849849849,36.33192105917171,1.202461518046709,1931.4375850327303,0.644693,0,1000000.0,1000.0
pa_1000_11,RWordle-L,0.2152422422422422,14.310161799385492,1.1778961066553355,19259.79187270516,1.945825,0,1000000.0,1000.0
pa_1000_11,SCALE,0.0,30836.873064139218,1.0601179006499233,1.6975503762953653e-19,0.0,0,1000000.0,1000.0
pa_1000_11,VPSC,0.0244304304304304,9.09597095252141,4.833022388059701,1313.3612907859665,0.965502,0,1000000.0,1000.0
pa_1000_12,GTREE,0.0384364364364364,54.291074538836114,1.0944146467755014,13726.995318491508,0.670665,0,1000000.0,1000.0
pa_1000_12,PFS,0.0,119.9363527264723,1.6977753078895004,20121.72773394796,0.333632,0,1000000.0,1000.0
pa_1000_12,PFS',0.0,61.69951948560056,1.0434731188094415,9835.626043411745,0.393403,0,1000000.0,1000.0
pa_1000_12,PRISM,0.014079079079079,28.8144941927419,1.183874265269614,4049.269134838428,0.667599,0,1000000.0,1000.0
pa_1000_12,RWordle-L,0.2091731731731731,10.671315672219617,1.215262321144674,17870.8889055578,1.271752,0,1000000.0,1000.0
pa_1000_12,SCALE,0.0,32062.214268979595,1.049747392273792,1.7837403131049022e-19,0.0,0,1000000.0,1000.0
pa_1000_12,VPSC,0.036014014014014,7.516605989332701,4.290849673202614,1561.752077813522,0.854084,0,1000000.0,1000.0
pa_1000_13,GTREE,0.0292512512512512,64.77123691350876,1.1216596343178622,9060.13920200056,0.78638,0,1000000.0,1000.0
pa_1000_13,PFS,0.0,134.4019985553537,1.788881062379581,8992.193706647147,0.460062,0,1000000.0,1000.0
pa_1000_13,PFS',0.0,74.53989063309822,1.1667349050917235,6896.051574543379,0.580365,0,1000000.0,1000.0
pa_1000_13,PRISM,0.0217027027027027,33.58536297779926,1.283883135148958,2421.004937077145,0.956634,0,1000000.0,1000.0
pa_1000_13,RWordle-L,0.2113663663663663,12.664139709748424,1.103227389863787,19133.494377571984,1.25325,0,1000000.0,1000.0
pa_1000_13,SCALE,0.0,31367.94589254859,1.0655896526754725,1.726578790967812e-19,0.0,0,1000000.0,1000.0
pa_1000_13,VPSC,0.0255615615615615,7.975079477437098,4.494827586206896,1095.640070173623,0.872699,0,1000000.0,1000.0
pa_1000_14,GTREE,0.0235315315315315,63.24534030987687,1.0835665643094283,4149.013516425791,0.775317,0,1000000.0,1000.0
pa_1000_14,PFS,0.0,134.1010080868839,1.7493405085997678,11257.863002392673,0.400617,0,1000000.0,1000.0
pa_1000_14,PFS',0.0,72.95952979008645,1.0895369924018088,5748.743837189652,0.504351,0,1000000.0,1000.0
pa_1000_14,PRISM,0.0214514514514514,36.420732841797005,1.210303893637227,1901.7022295549243,0.817699,0,1000000.0,1000.0
pa_1000_14,RWordle-L,0.2152272272272272,13.426270337684157,1.1241859760714827,19919.78369512545,1.712021,0,1000000.0,1000.0
pa_1000_14,SCALE,0.0,31082.67733333687,1.0659001769618446,1.7472229360386482e-19,0.0,0,1000000.0,1000.0
pa_1000_14,VPSC,0.0384704704704704,8.763302740959857,4.623239436619718,2704.7858263767075,1.132674,0,1000000.0,1000.0
pa_1000_15,GTREE,0.0319509509509509,63.26695140770234,1.0442321442758402,13902.774896913412,1.107201,0,1000000.0,1000.0
pa_1000_15,PFS,0.0,130.88154962120825,1.802714398111723,14748.4715888301,0.46653,0,1000000.0,1000.0
pa_1000_15,PFS',0.0,68.69816137086772,1.152126750378016,6808.283047001283,0.610484,0,1000000.0,1000.0
pa_1000_15,PRISM,0.0203263263263263,31.046302314447637,1.190858243168898,2454.651981732148,1.000881,0,1000000.0,1000.0
pa_1000_15,RWordle-L,0.2161901901901902,11.975326418046071,1.101128936423054,19968.99037335788,2.512376,0,1000000.0,1000.0
pa_1000_15,SCALE,0.0,31566.983945231284,1.0626046726810086,1.7910072602223061e-19,0.0,0,1000000.0,1000.0
pa_1000_15,VPSC,0.0415875875875875,7.700925750731234,4.418888888888889,2063.5182020162288,1.197607,0,1000000.0,1000.0
pa_1000_16,GTREE,0.0314524524524524,60.82378155358024,1.0059391003166105,7444.083956218479,0.574412,0,1000000.0,1000.0
