filename,algorithm,GQS,oo_nni,sp_ch_a,gs_bb_iar,nm_dm_imse,eb_rsdd,node_overlaps,area_size,avg_node_size
pa_1000_17,gtree,0.5939,0.0227,64.8962,1.1662,10330.7879,0.9593,0,1000000.0,1000.0
pa_1000_17,pfs,0.5583,0.0,132.0523,1.8304,16025.6564,0.4591,0,1000000.0,1000.0
pa_1000_17,pfsp,0.619,0.0,76.8973,1.1903,9153.6707,0.5799,0,1000000.0,1000.0
pa_1000_17,prism,0.5697,0.0218,35.8412,1.3274,4291.511,0.9415,0,1000000.0,1000.0
pa_1000_17,rwordle,0.6015,0.2142,14.0563,1.086,19634.4779,1.3364,0,1000000.0,1000.0
pa_1000_17,scale,0.7841,0.0,30539.4084,1.068,0.0,0.0,0,1000000.0,1000.0
pa_1000_17,vpsc,0.3939,0.0373,8.8388,5.0884,1515.2344,1.8686,0,1000000.0,1000.0
pa_1000_18,gtree,0.6326,0.03,63.6727,1.0303,9053.207,0.817,0,1000000.0,1000.0
pa_1000_18,pfs,0.5676,0.0,132.2754,1.8008,7099.9229,0.4021,0,1000000.0,1000.0
pa_1000_18,pfsp,0.6285,0.0,70.282,1.1789,5570.5844,0.5087,0,1000000.0,1000.0
pa_1000_18,prism,0.5886,0.0275,33.5427,1.2627,2636.1291,0.8152,0,1000000.0,1000.0
pa_1000_18,rwordle,0.5678,0.2141,12.7773,1.082,19924.7999,2.4683,0,1000000.0,1000.0
pa_1000_18,scale,0.7845,0.0,31195.3529,1.0662,0.0,0.0,0,1000000.0,1000.0
pa_1000_18,vpsc,0.4275,0.0186,8.3316,4.3868,1433.1839,1.2024,0,1000000.0,1000.0
pa_1000_19,gtree,0.59,0.0498,70.1214,1.1326,12650.8729,1.1552,0,1000000.0,1000.0
pa_1000_19,pfs,0.5761,0.0,131.0551,1.8158,7043.1133,0.3299,0,1000000.0,1000.0
pa_1000_19,pfsp,0.6494,0.0,70.195,1.1465,6357.4663,0.3848,0,1000000.0,1000.0
pa_1000_19,prism,0.5924,0.0107,34.2604,1.327,1873.0268,0.6453,0,1000000.0,1000.0
pa_1000_19,rwordle,0.5776,0.2159,13.5523,1.0685,19841.927,2.16,0,1000000.0,1000.0
pa_1000_19,scale,0.7841,0.0,30827.4986,1.0681,0.0,0.0,0,1000000.0,1000.0
pa_1000_19,vpsc,0.4295,0.0243,8.7298,4.6747,1703.3556,1.1003,0,1000000.0,1000.0
pa_1000_1,gtree,0.6501,0.0312,62.5446,1.0427,5839.085,0.5827,0,1000000.0,1000.0
pa_1000_1,pfs,0.6008,0.0,131.4078,1.7029,5744.0005,0.2282,0,1000000.0,1000.0
pa_1000_1,pfsp,0.6868,0.0,71.7176,1.0868,6231.1681,0.2134,0,1000000.0,1000.0
pa_1000_1,prism,0.65,0.0108,34.5839,1.1459,1942.5178,0.3905,0,1000000.0,1000.0
pa_1000_1,rwordle,0.6007,0.2162,13.4854,1.1257,19813.2181,1.1913,0,1000000.0,1000.0
pa_1000_1,scale,0.7861,0.0,313.8649,1.0597,0.0,0.0,0,1000000.0,1000.0
pa_1000_1,vpsc,0.4489,0.0407,9.2119,4.9454,1724.5855,0.7754,0,1000000.0,1000.0
pa_1000_20,gtree,0.6275,0.0315,71.978,1.0922,6404.7877,0.7092,0,1000000.0,1000.0
pa_1000_20,pfs,0.5774,0.0,128.5861,1.8074,7247.1379,0.3252,0,1000000.0,1000.0
pa_1000_20,pfsp,0.6513,0.0,71.142,1.1372,6745.0934,0.3832,0,1000000.0,1000.0
pa_1000_20,prism,0.604,0.0094,35.9924,1.2593,2390.9577,0.6282,0,1000000.0,1000.0
pa_1000_20,rwordle,0.6113,0.216,13.7571,1.0714,19425.4444,1.204,0,1000000.0,1000.0
pa_1000_20,scale,0.7839,0.0,30763.3715,1.069,0.0,0.0,0,1000000.0,1000.0
pa_1000_20,vpsc,0.4031,0.0281,8.6374,4.456,1259.6605,1.7873,0,1000000.0,1000.0
pa_1000_21,gtree,0.6351,0.0379,58.7946,1.1442,13474.0698,0.5258,0,1000000.0,1000.0
pa_1000_21,pfs,0.5933,0.0,120.4696,1.7863,16339.0252,0.2321,0,1000000.0,1000.0
pa_1000_21,pfsp,0.6802,0.0,60.2941,1.1448,9802.8791,0.1851,0,1000000.0,1000.0
pa_1000_21,prism,0.6321,0.0103,28.4437,1.2566,3955.7476,0.3825,0,1000000.0,1000.0
pa_1000_21,rwordle,0.6075,0.2093,10.9207,1.0807,18902.7623,1.2507,0,1000000.0,1000.0
pa_1000_21,scale,0.7864,0.0,321.456,1.0583,0.0,0.0,0,1000000.0,1000.0
