filename,algorithm,GQS
pa_1000_4,rwordle,0.847
pa_1000_4,scale,0.905
pa_1000_4,vpsc,0.694
pa_1000_5,gtree,0.845
pa_1000_5,pfs,0.775
pa_1000_5,pfsp,0.839
pa_1000_5,prism,0.818
pa_1000_5,rwordle,0.844
pa_1000_5,scale,0.903
pa_1000_5,vpsc,0.697
pa_1000_6,gtree,0.821
pa_1000_6,pfs,0.773
pa_1000_6,pfsp,0.846
pa_1000_6,prism,0.812
pa_1000_6,rwordle,0.841
pa_1000_6,scale,0.903
pa_1000_6,vpsc,0.698
pa_1000_7,gtree,0.852
pa_1000_7,pfs,0.778
pa_1000_7,pfsp,0.849
pa_1000_7,prism,0.824
pa_1000_7,rwordle,0.845
pa_1000_7,scale,0.904
pa_1000_7,vpsc,0.696
pa_1000_8,gtree,0.854
pa_1000_8,pfs,0.767
pa_1000_8,pfsp,0.83
pa_1000_8,prism,0.807
pa_1000_8,rwordle,0.841
pa_1000_8,scale,0.903
pa_1000_8,vpsc,0.698
pa_1000_9,gtree,0.846
pa_1000_9,pfs,0.771
pa_1000_9,pfsp,0.83
pa_1000_9,prism,0.817
pa_1000_9,rwordle,0.848
pa_1000_9,scale,0.903
pa_1000_9,vpsc,0.7
pa_100_10,gtree,0.867
pa_100_10,pfs,0.775
pa_100_10,pfsp,0.846
pa_100_10,prism,0.822
pa_100_10,rwordle,0.867
pa_100_10,scale,0.904
pa_100_10,vpsc,0.764
pa_100_11,gtree,0.86
pa_100_11,pfs,0.782
pa_100_11,pfsp,0.848
pa_100_11,prism,0.846
pa_100_11,rwordle,0.872
pa_100_11,scale,0.905
pa_100_11,vpsc,0.761
pa_100_12,gtree,0.861
pa_100_12,pfs,0.797
pa_100_12,pfsp,0.875
pa_100_12,prism,0.859
pa_100_12,rwordle,0.876
pa_100_12,scale,0.907
pa_100_12,vpsc,0.78
pa_100_13,gtree,0.867
pa_100_13,pfs,0.775
pa_100_13,pfsp,0.846
pa_100_13,prism,0.822
pa_100_13,rwordle,0.867
pa_100_13,scale,0.904
pa_100_13,vpsc,0.764
pa_100_14,gtree,0.857
pa_100_14,pfs,0.781
pa_100_14,pfsp,0.844
pa_100_14,prism,0.819
pa_100_14,rwordle,0.848
pa_100_14,scale,0.904
pa_100_14,vpsc,0.764
pa_100_15,gtree,0.865
pa_100_15,pfs,0.784
pa_100_15,pfsp,0.871
pa_100_15,prism,0.848
pa_100_15,rwordle,0.865
pa_100_15,scale,0.906
pa_100_15,vpsc,0.767
pa_100_16,gtree,0.871
pa_100_16,pfs,0.781
pa_100_16,pfsp,0.851
pa_100_16,prism,0.829
pa_100_16,rwordle,0.866
pa_100_16,scale,0.904
pa_100_16,vpsc,0.785
pa_100_17,gtree,0.872
pa_100_17,pfs,0.768
pa_100_17,pfsp,0.873
pa_100_17,prism,0.842
pa_100_17,rwordle,0.866
pa_100_17,scale,0.907
pa_100_17,vpsc,0.777
pa_100_18,gtree,0.871
pa_100_18,pfs,0.781
pa_100_18,pfsp,0.851
pa_100_18,prism,0.829
pa_100_18,rwordle,0.866
pa_100_18,scale,0.904
pa_100_18,vpsc,0.785
pa_100_19,gtree,0.872
pa_100_19,pfs,0.768
pa_100_19,pfsp,0.873
pa_100_19,prism,0.842
pa_100_19,rwordle,0.866
pa_100_19,scale,0.907
pa_100_19,vpsc,0.777
pa_100_1,gtree,0.849
pa_100_1,pfs,0.776
pa_100_1,pfsp,0.853
pa_100_1,prism,0.827
pa_100_1,rwordle,0.858
pa_100_1,scale,0.906
pa_100_1,vpsc,0.79
pa_100_20,gtree,0.866
pa_100_20,pfs,0.792
pa_100_20,pfsp,0.869
pa_100_20,prism,0.854
pa_100_20,rwordle,0.858
pa_100_20,scale,0.906
pa_100_20,vpsc,0.755
pa_100_21,gtree,0.853
pa_100_21,pfs,0.785
pa_100_21,pfsp,0.848
pa_100_21,prism,0.837
pa_100_21,rwordle,0.871
pa_100_21,scale,0.907
pa_100_21,vpsc,0.788
pa_100_22,gtree,0.874
pa_100_22,pfs,0.792
pa_100_22,pfsp,0.856
pa_100_22,prism,0.834
pa_100_22,rwordle,0.868
pa_100_22,scale,0.907
pa_100_22,vpsc,0.792
pa_100_23,gtree,0.846
pa_100_23,pfs,0.797
pa_100_23,pfsp,0.838
pa_100_23,prism,0.833
pa_100_23,rwordle,0.862
pa_100_23,scale,0.906
pa_100_23,vpsc,0.799
pa_100_24,gtree,0.839
pa_100_24,pfs,0.777
pa_100_24,pfsp,0.848
pa_100_24,prism,0.836
pa_100_24,rwordle,0.854
pa_100_24,scale,0.906
pa_100_24,vpsc,0.776
pa_100_25,gtree,0.84
pa_100_25,pfs,0.77
pa_100_25,pfsp,0.837
pa_100_25,prism,0.828
pa_100_25,rwordle,0.879
pa_100_25,scale,0.907
pa_100_25,vpsc,0.777
pa_100_26,gtree,0.837
pa_100_26,pfs,0.782
pa_100_26,pfsp,0.835
pa_100_26,prism,0.832
pa_100_26,rwordle,0.863
pa_100_26,scale,0.905
pa_100_26,vpsc,0.788
pa_100_27,gtree,0.874
pa_100_27,pfs,0.792
pa_100_27,pfsp,0.856
pa_100_27,prism,0.834
pa_100_27,rwordle,0.868
pa_100_27,scale,0.907
pa_100_27,vpsc,0.792
pa_100_28,gtree,0.851
pa_100_28,pfs,0.793
pa_100_28,pfsp,0.859
pa_100_28,prism,0.836
pa_100_28,rwordle,0.873
pa_100_28,scale,0.906
pa_100_28,vpsc,0.788
pa_100_29,gtree,0.853
pa_100_29,pfs,0.778
pa_100_29,pfsp,0.851
pa_100_29,prism,0.835
pa_100_29,rwordle,0.863
pa_100_29,scale,0.906
pa_100_29,vpsc,0.785
pa_100_2,gtree,0.86
pa_100_2,pfs,0.781
pa_100_2,pfsp,0.875
pa_100_2,prism,0.85
pa_100_2,rwordle,0.862
pa_100_2,scale,0.905
pa_100_2,vpsc,0.773
pa_100_30,gtree,0.848
pa_100_30,pfs,0.791
pa_100_30,pfsp,0.849
pa_100_30,prism,0.845
pa_100_30,rwordle,0.859
pa_100_30,scale,0.906
pa_100_30,vpsc,0.752
pa_100_3,gtree,0.871
pa_100_3,pfs,0.766
pa_100_3,pfsp,0.853
pa_100_3,prism,0.842
pa_100_3,rwordle,0.854
pa_100_3,scale,0.904
pa_100_3,vpsc,0.766
pa_100_4,gtree,0.859
pa_100_4,pfs,0.777
pa_100_4,pfsp,0.837
pa_100_4,prism,0.813
pa_100_4,rwordle,0.869
pa_100_4,scale,0.907
pa_100_4,vpsc,0.781
pa_100_5,gtree,0.861
pa_100_5,pfs,0.776
pa_100_5,pfsp,0.846
pa_100_5,prism,0.82
pa_100_5,rwordle,0.86
pa_100_5,scale,0.906
pa_100_5,vpsc,0.761
pa_100_6,gtree,0.867
pa_100_6,pfs,0.785
pa_100_6,pfsp,0.856
pa_100_6,prism,0.857
pa_100_6,rwordle,0.861
pa_100_6,scale,0.907
pa_100_6,vpsc,0.786
pa_100_7,gtree,0.858
pa_100_7,pfs,0.786
pa_100_7,pfsp,0.867
pa_100_7,prism,0.846
pa_100_7,rwordle,0.873
pa_100_7,scale,0.907
pa_100_7,vpsc,0.777
pa_100_8,gtree,0.868
pa_100_8,pfs,0.781
pa_100_8,pfsp,0.843
pa_100_8,prism,0.838
pa_100_8,rwordle,0.862
pa_100_8,scale,0.906
pa_100_8,vpsc,0.769
pa_100_9,gtree,0.859
pa_100_9,pfs,0.774
pa_100_9,pfsp,0.846
pa_100_9,prism,0.839
pa_100_9,rwordle,0.865
pa_100_9,scale,0.904
pa_100_9,vpsc,0.766
pa_10_10,gtree,0.873
pa_10_10,pfs,0.867
pa_10_10,pfsp,0.895
pa_10_10,prism,0.882
pa_10_10,rwordle,0.911
pa_10_10,scale,0.913
pa_10_10,vpsc,0.933
pa_10_11,gtree,0.866
pa_10_11,pfs,0.884
pa_10_11,pfsp,0.905
pa_10_11,prism,0.87
pa_10_11,rwordle,0.908
pa_10_11,scale,0.933
pa_10_11,vpsc,0.921
pa_10_12,gtree,0.903
pa_10_12,pfs,0.933
pa_10_12,pfsp,0.939
pa_10_12,prism,0.893
pa_10_12,rwordle,0.911
pa_10_12,scale,0.951
pa_10_12,vpsc,0.939
pa_10_13,gtree,0.873
pa_10_13,pfs,0.867
pa_10_13,pfsp,0.895
pa_10_13,prism,0.882
pa_10_13,rwordle,0.911
pa_10_13,scale,0.913
pa_10_13,vpsc,0.933
pa_10_14,gtree,0.873
pa_10_14,pfs,0.867
pa_10_14,pfsp,0.895
pa_10_14,prism,0.882
pa_10_14,rwordle,0.911
pa_10_14,scale,0.913
pa_10_14,vpsc,0.933
pa_10_15,gtree,0.903
pa_10_15,pfs,0.933
pa_10_15,pfsp,0.939
pa_10_15,prism,0.893
pa_10_15,rwordle,0.911
pa_10_15,scale,0.951
pa_10_15,vpsc,0.939
pa_10_16,gtree,0.873
pa_10_16,pfs,0.867
pa_10_16,pfsp,0.895
pa_10_16,prism,0.882
pa_10_16,rwordle,0.911
pa_10_16,scale,0.913
pa_10_16,vpsc,0.933
pa_10_17,gtree,0.866
pa_10_17,pfs,0.884
pa_10_17,pfsp,0.905
pa_10_17,prism,0.87
pa_10_17,rwordle,0.908
pa_10_17,scale,0.933
pa_10_17,vpsc,0.921
pa_10_18,gtree,0.873
pa_10_18,pfs,0.867
pa_10_18,pfsp,0.895
pa_10_18,prism,0.882
pa_10_18,rwordle,0.911
pa_10_18,scale,0.913
pa_10_18,vpsc,0.933
pa_10_19,gtree,0.866
pa_10_19,pfs,0.884
pa_10_19,pfsp,0.905
pa_10_19,prism,0.87
pa_10_19,rwordle,0.908
pa_10_19,scale,0.933
pa_10_19,vpsc,0.921
pa_10_1,gtree,0.875
pa_10_1,pfs,0.883
pa_10_1,pfsp,0.891
pa_10_1,prism,0.875
pa_10_1,rwordle,0.911
pa_10_1,scale,0.919
pa_10_1,vpsc,0.921
pa_10_20,gtree,0.866
pa_10_20,pfs,0.884
pa_10_20,pfsp,0.905
pa_10_20,prism,0.87
pa_10_20,rwordle,0.908
pa_10_20,scale,0.933
pa_10_20,vpsc,0.921
pa_10_21,gtree,0.903
pa_10_21,pfs,0.933
pa_10_21,pfsp,0.939
pa_10_21,prism,0.893
pa_10_21,rwordle,0.911
pa_10_21,scale,0.951
pa_10_21,vpsc,0.939
pa_10_22,gtree,0.903
pa_10_22,pfs,0.933
pa_10_22,pfsp,0.939
pa_10_22,prism,0.893
pa_10_22,rwordle,0.911
pa_10_22,scale,0.951
pa_10_22,vpsc,0.939
pa_10_23,gtree,0.873
pa_10_23,pfs,0.867
pa_10_23,pfsp,0.895
pa_10_23,prism,0.882
pa_10_23,rwordle,0.911
pa_10_23,scale,0.913
pa_10_23,vpsc,0.933
pa_10_24,gtree,0.866
pa_10_24,pfs,0.884
pa_10_24,pfsp,0.905
pa_10_24,prism,0.87
pa_10_24,rwordle,0.908
pa_10_24,scale,0.933
pa_10_24,vpsc,0.921
pa_10_25,gtree,0.903
pa_10_25,pfs,0.933
pa_10_25,pfsp,0.939
pa_10_25,prism,0.893
pa_10_25,rwordle,0.911
pa_10_25,scale,0.951
pa_10_25,vpsc,0.939
pa_10_26,gtree,0.903
pa_10_26,pfs,0.933
pa_10_26,pfsp,0.939
pa_10_26,prism,0.893
pa_10_26,rwordle,0.911
pa_10_26,scale,0.951
pa_10_26,vpsc,0.939
pa_10_27,gtree,0.903
pa_10_27,pfs,0.933
pa_10_27,pfsp,0.939
pa_10_27,prism,0.893
pa_10_27,rwordle,0.911
pa_10_27,scale,0.951
pa_10_27,vpsc,0.939
pa_10_28,gtree,0.903
pa_10_28,pfs,0.933
pa_10_28,pfsp,0.939
pa_10_28,prism,0.893
pa_10_28,rwordle,0.911
pa_10_28,scale,0.951
pa_10_28,vpsc,0.939
pa_10_29,gtree,0.866
pa_10_29,pfs,0.884
pa_10_29,pfsp,0.905
pa_10_29,prism,0.87
pa_10_29,rwordle,0.908
pa_10_29,scale,0.933
pa_10_29,vpsc,0.921
pa_10_2,gtree,0.894
pa_10_2,pfs,0.906
pa_10_2,pfsp,0.906
pa_10_2,prism,0.896
pa_10_2,rwordle,0.883
pa_10_2,scale,0.937
pa_10_2,vpsc,0.923
pa_10_30,gtree,0.866
pa_10_30,pfs,0.884
pa_10_30,pfsp,0.905
pa_10_30,prism,0.87
pa_10_30,rwordle,0.908
pa_10_30,scale,0.933
pa_10_30,vpsc,0.921
pa_10_3,gtree,0.873
pa_10_3,pfs,0.867
pa_10_3,pfsp,0.895
pa_10_3,prism,0.882
pa_10_3,rwordle,0.911
pa_10_3,scale,0.913
pa_10_3,vpsc,0.933
pa_10_4,gtree,0.873
pa_10_4,pfs,0.867
pa_10_4,pfsp,0.895
pa_10_4,prism,0.882
pa_10_4,rwordle,0.911
pa_10_4,scale,0.913
pa_10_4,vpsc,0.933
pa_10_5,gtree,0.866
pa_10_5,pfs,0.884
pa_10_5,pfsp,0.905
pa_10_5,prism,0.87
pa_10_5,rwordle,0.908
pa_10_5,scale,0.933
pa_10_5,vpsc,0.921
pa_10_6,gtree,0.873
pa_10_6,pfs,0.867
pa_10_6,pfsp,0.895
pa_10_6,prism,0.882
pa_10_6,rwordle,0.911
pa_10_6,scale,0.913
pa_10_6,vpsc,0.933
pa_10_7,gtree,0.873
pa_10_7,pfs,0.867
pa_10_7,pfsp,0.895
pa_10_7,prism,0.882
pa_10_7,rwordle,0.911
pa_10_7,scale,0.913
pa_10_7,vpsc,0.933
pa_10_8,gtree,0.866
pa_10_8,pfs,0.884
pa_10_8,pfsp,0.905
pa_10_8,prism,0.87
pa_10_8,rwordle,0.908
pa_10_8,scale,0.933
pa_10_8,vpsc,0.921
pa_10_9,gtree,0.866
pa_10_9,pfs,0.884
pa_10_9,pfsp,0.905
pa_10_9,prism,0.87
pa_10_9,rwordle,0.908
pa_10_9,scale,0.933
pa_10_9,vpsc,0.921
pa_200_10,gtree,0.864
pa_200_10,pfs,0.767
pa_200_10,pfsp,0.848
pa_200_10,prism,0.811
pa_200_10,rwordle,0.855
pa_200_10,scale,0.904
pa_200_10,vpsc,0.747
pa_200_11,gtree,0.867
pa_200_11,pfs,0.762
pa_200_11,pfsp,0.847
pa_200_11,prism,0.827
pa_200_11,rwordle,0.851
pa_200_11,scale,0.904
pa_200_11,vpsc,0.743
pa_200_12,gtree,0.845
pa_200_12,pfs,0.769
pa_200_12,pfsp,0.84
pa_200_12,prism,0.825
pa_200_12,rwordle,0.856
pa_200_12,scale,0.904
pa_200_12,vpsc,0.76
pa_200_13,gtree,0.859
pa_200_13,pfs,0.777
pa_200_13,pfsp,0.84
pa_200_13,prism,0.825
pa_200_13,rwordle,0.84
pa_200_13,scale,0.904
pa_200_13,vpsc,0.748
pa_200_14,gtree,0.856
pa_200_14,pfs,0.777
pa_200_14,pfsp,0.851
pa_200_14,prism,0.833
pa_200_14,rwordle,0.855
pa_200_14,scale,0.906
pa_200_14,vpsc,0.734
pa_200_15,gtree,0.854
pa_200_15,pfs,0.774
pa_200_15,pfsp,0.858
