filename,algorithm,score
pa_10_28,GTREE,0.903
pa_10_28,RWordle-L,0.911
pa_10_29,initial,0.0
pa_10_29,SCALE,0.933
pa_10_29,PFS,0.884
pa_10_29,PFS',0.905
pa_10_29,FTA,0.905
pa_10_29,VPSC,0.921
pa_10_29,PRISM,0.87
pa_10_29,GTREE,0.866
pa_10_29,RWordle-L,0.908
pa_10_2,initial,0.0
pa_10_2,SCALE,0.937
pa_10_2,PFS,0.906
pa_10_2,PFS',0.906
pa_10_2,FTA,0.902
pa_10_2,VPSC,0.923
pa_10_2,PRISM,0.896
pa_10_2,GTREE,0.894
pa_10_2,RWordle-L,0.883
pa_10_30,initial,0.0
pa_10_30,SCALE,0.933
pa_10_30,PFS,0.884
pa_10_30,PFS',0.905
pa_10_30,FTA,0.905
pa_10_30,VPSC,0.921
pa_10_30,PRISM,0.87
pa_10_30,GTREE,0.866
pa_10_30,RWordle-L,0.908
pa_10_3,initial,0.0
pa_10_3,SCALE,0.913
pa_10_3,PFS,0.867
pa_10_3,PFS',0.895
pa_10_3,FTA,0.913
pa_10_3,VPSC,0.933
pa_10_3,PRISM,0.882
pa_10_3,GTREE,0.873
pa_10_3,RWordle-L,0.911
pa_10_4,initial,0.0
pa_10_4,SCALE,0.913
pa_10_4,PFS,0.867
pa_10_4,PFS',0.895
pa_10_4,FTA,0.913
pa_10_4,VPSC,0.933
pa_10_4,PRISM,0.882
pa_10_4,GTREE,0.873
pa_10_4,RWordle-L,0.911
pa_10_5,initial,0.0
pa_10_5,SCALE,0.933
pa_10_5,PFS,0.884
pa_10_5,PFS',0.905
pa_10_5,FTA,0.905
pa_10_5,VPSC,0.921
pa_10_5,PRISM,0.87
pa_10_5,GTREE,0.866
pa_10_5,RWordle-L,0.908
pa_10_6,initial,0.0
pa_10_6,SCALE,0.913
pa_10_6,PFS,0.867
pa_10_6,PFS',0.895
pa_10_6,FTA,0.913
pa_10_6,VPSC,0.933
pa_10_6,PRISM,0.882
pa_10_6,GTREE,0.873
pa_10_6,RWordle-L,0.911
pa_10_7,initial,0.0
pa_10_7,SCALE,0.913
pa_10_7,PFS,0.867
pa_10_7,PFS',0.895
pa_10_7,FTA,0.913
pa_10_7,VPSC,0.933
pa_10_7,PRISM,0.882
pa_10_7,GTREE,0.873
pa_10_7,RWordle-L,0.911
pa_10_8,initial,0.0
pa_10_8,SCALE,0.933
pa_10_8,PFS,0.884
pa_10_8,PFS',0.905
pa_10_8,FTA,0.905
pa_10_8,VPSC,0.921
pa_10_8,PRISM,0.87
pa_10_8,GTREE,0.866
pa_10_8,RWordle-L,0.908
pa_10_9,initial,0.0
pa_10_9,SCALE,0.933
pa_10_9,PFS,0.884
pa_10_9,PFS',0.905
pa_10_9,FTA,0.905
pa_10_9,VPSC,0.921
pa_10_9,PRISM,0.87
pa_10_9,GTREE,0.866
pa_10_9,RWordle-L,0.908
pa_20_10,initial,0.0
pa_20_10,SCALE,0.923
pa_20_10,PFS,0.875
pa_20_10,PFS',0.893
pa_20_10,FTA,0.896
pa_20_10,VPSC,0.905
pa_20_10,PRISM,0.867
pa_20_10,GTREE,0.881
pa_20_10,RWordle-L,0.906
pa_20_11,initial,0.0
pa_20_11,SCALE,0.916
pa_20_11,PFS,0.837
pa_20_11,PFS',0.889
pa_20_11,FTA,0.819
pa_20_11,VPSC,0.896
pa_20_11,PRISM,0.869
pa_20_11,GTREE,0.878
pa_20_11,RWordle-L,0.902
pa_20_12,initial,0.0
pa_20_12,SCALE,0.908
pa_20_12,PFS,0.857
pa_20_12,PFS',0.856
pa_20_12,FTA,0.893
pa_20_12,VPSC,0.903
pa_20_12,PRISM,0.874
pa_20_12,GTREE,0.857
pa_20_12,RWordle-L,0.904
pa_20_13,initial,0.0
pa_20_13,SCALE,0.923
pa_20_13,PFS,0.875
pa_20_13,PFS',0.893
pa_20_13,FTA,0.896
pa_20_13,VPSC,0.905
pa_20_13,PRISM,0.867
pa_20_13,GTREE,0.881
pa_20_13,RWordle-L,0.906
pa_20_14,initial,0.0
pa_20_14,SCALE,0.923
pa_20_14,PFS,0.875
pa_20_14,PFS',0.893
pa_20_14,FTA,0.896
pa_20_14,VPSC,0.905
pa_20_14,PRISM,0.867
pa_20_14,GTREE,0.881
pa_20_14,RWordle-L,0.906
pa_20_15,initial,0.0
pa_20_15,SCALE,0.908
pa_20_15,PFS,0.857
pa_20_15,PFS',0.856
pa_20_15,FTA,0.893
pa_20_15,VPSC,0.903
pa_20_15,PRISM,0.874
pa_20_15,GTREE,0.857
pa_20_15,RWordle-L,0.904
pa_20_16,initial,0.0
pa_20_16,SCALE,0.923
pa_20_16,PFS,0.875
pa_20_16,PFS',0.893
pa_20_16,FTA,0.896
pa_20_16,VPSC,0.905
pa_20_16,PRISM,0.867
pa_20_16,GTREE,0.881
pa_20_16,RWordle-L,0.906
pa_20_17,initial,0.0
pa_20_17,SCALE,0.916
pa_20_17,PFS,0.837
pa_20_17,PFS',0.889
pa_20_17,FTA,0.819
pa_20_17,VPSC,0.896
pa_20_17,PRISM,0.869
pa_20_17,GTREE,0.878
pa_20_17,RWordle-L,0.902
pa_20_18,initial,0.0
pa_20_18,SCALE,0.923
pa_20_18,PFS,0.875
pa_20_18,PFS',0.893
pa_20_18,FTA,0.896
pa_20_18,VPSC,0.905
pa_20_18,PRISM,0.867
pa_20_18,GTREE,0.881
pa_20_18,RWordle-L,0.906
pa_20_19,initial,0.0
pa_20_19,SCALE,0.916
pa_20_19,PFS,0.837
pa_20_19,PFS',0.889
pa_20_19,FTA,0.819
pa_20_19,VPSC,0.896
pa_20_19,PRISM,0.869
