type;n;m;iteration;algorithm;oo_nni;sp_ch_a;gs_bb_iar;nm_dm_imse;eb_rsdd
pa;1000;3990;15;gtree;0.03195095095095095;63.26695140770234;1.0442321442758402;13902.774896913412;1.107201
pa;1000;3990;15;pfs;0;130.88154962120825;1.802714398111723;14748.4715888301;0.46653
pa;1000;3990;15;pfsp;0;68.69816137086772;1.152126750378016;6808.283047001283;0.610484
pa;1000;3990;15;prism;0.020326326326326326;31.046302314447633;1.1908582431688979;2454.6519817321478;1.000881
pa;1000;3990;15;rwordle;0.2161901901901902;11.975326418046071;1.101128936423054;19968.990373357876;2.512376
pa;1000;3990;15;scale;0;31566.983945231284;1.0626046726810086;1.791007260222306e-19;0
pa;1000;3990;15;vpsc;0.041587587587587585;7.700925750731234;4.418888888888889;2063.5182020162288;1.197607
pa;1000;4985;16;gtree;0.03145245245245245;60.82378155358024;1.0059391003166103;7444.083956218479;0.574412
pa;1000;4985;16;pfs;0;127.81240613441122;1.719579668855031;12921.801457195515;0.332136
pa;1000;4985;16;pfsp;0;69.53305416946014;1.11143987574964;7246.780265308829;0.386563
pa;1000;4985;16;prism;0.011872872872872873;33.78773293717696;1.2879895347886519;2947.742095793052;0.648994
pa;1000;4985;16;rwordle;0.21616316316316317;12.877386559166164;1.1234095451664798;19150.65772761437;1.22351
pa;1000;4985;16;scale;0;31103.637908399298;1.0623475653842076;1.7303283014228429e-19;0
pa;1000;4985;16;vpsc;0.034705705705705706;8.843488954388182;4.438356164383562;1918.0781959040305;1.019317
pa;1000;5979;17;gtree;0.02266266266266266;64.89620251673253;1.1662495695098152;10330.787877303503;0.959272
pa;1000;5979;17;pfs;0;132.05228209995198;1.8304147465437788;16025.656377839907;0.459144
pa;1000;5979;17;pfsp;0;76.89730888290592;1.1903490941228458;9153.670680000652;0.579868
pa;1000;5979;17;prism;0.021797797797797797;35.84117386537181;1.327360855757981;4291.511004633354;0.941473
pa;1000;5979;17;rwordle;0.21421021021021022;14.056336083557696;1.0860166964818128;19634.47794917482;1.336387
pa;1000;5979;17;scale;0;30539.408410352076;1.0680231721358664;1.6725505297293997e-19;0
pa;1000;5979;17;vpsc;0.037312312312312315;8.838826925336457;5.088383838383838;1515.2343666575457;1.868581
pa;1000;4985;18;gtree;0.02995995995995996;63.67269464064299;1.0303362417535646;9053.207011626495;0.816971
pa;1000;4985;18;pfs;0;132.27543806864273;1.800797467834094;7099.922883025062;0.40208
pa;1000;4985;18;pfsp;0;70.28202181861057;1.178921568627451;5570.584390201393;0.508722
pa;1000;4985;18;prism;0.027503503503503505;33.54265474340846;1.2627462248188233;2636.1291300925964;0.815189
pa;1000;4985;18;rwordle;0.2141001001001001;12.777250338421512;1.0819707607963835;19924.79985116864;2.468262
pa;1000;4985;18;scale;0;31195.35285743694;1.0662147589717683;1.7311747718872837e-19;0
pa;1000;4985;18;vpsc;0.018564564564564564;8.331581262793485;4.386824324324325;1433.1838503449055;1.202439
pa;1000;5979;19;gtree;0.04981381381381381;70.12141501851997;1.1325694533350403;12650.872909612888;1.155161
pa;1000;5979;19;pfs;0;131.05506282169762;1.8158275832694437;7043.113280040333;0.329944
pa;1000;5979;19;pfsp;0;70.19498703066917;1.1465385788350106;6357.466322564592;0.384751
pa;1000;5979;19;prism;0.010656656656656657;34.2603745163534;1.3269645404186154;1873.0267643122168;0.645316
pa;1000;5979;19;rwordle;0.21585885885885886;13.552326927032643;1.0684931506849316;19841.927024066503;2.160015
pa;1000;5979;19;scale;0;30827.498586851772;1.068100610952865;1.6958206423728476e-19;0
pa;1000;5979;19;vpsc;0.024343343343343343;8.729771525239782;4.674657534246576;1703.355604432629;1.100316
pa;1000;4985;1;gtree;0.031155155155155156;62.54463748323995;1.0426774879141936;5839.0849557472575;0.582696
pa;1000;4985;1;pfs;0;131.40783204837894;1.7028976482553915;5744.00047488603;0.228216
pa;1000;4985;1;pfsp;0;71.71758931646119;1.0867719069958566;6231.168106439543;0.213421
pa;1000;4985;1;prism;0.010821821821821821;34.58391275355543;1.1458824078177112;1942.5178170874;0.390517
pa;1000;4985;1;rwordle;0.21615115115115116;13.485394074636089;1.125695453861962;19813.218080923452;1.191255
pa;1000;4985;1;scale;0;313.86490604367697;1.0597334004024146;0;0
